"time","T","der(T)","T_out"
804,19.5487119916489,-0.006332247217971059,13.21646477367784
805,19.54237249680231,-0.006346261803088826,13.19611069371348
806,19.53601898376633,-0.006360228061377516,13.17579092238881
807,19.52965149921257,-0.006374145653041714,13.15550584617085
808,19.52327009009091,-0.006388014239224179,13.13525585086673
809,19.51687501875843,-0.006401833697142052,13.11504132161637
810,19.51046616568076,-0.00641560352279559,13.09486264288517
811,19.50404356920555,-0.006429323370748888,13.07472019845666
812,19.49760728029944,-0.006442992908874215,13.05461437142523
813,19.49115735031888,-0.006456611806130052,13.03454554418883
814,19.48469383101051,-0.006470179732568811,13.0145140984417
815,19.47821677451169,-0.006483696359344581,12.99452041516711
816,19.47172623335095,-0.006497161358720817,12.97456487463013
817,19.46522226044845,-0.00651057440407808,12.95464785637037
818,19.45870490911646,-0.006523935169921676,12.93476973919478
819,19.4521742330598,-0.006537243331889355,12.91493090117044
820,19.44563028637633,-0.006550498566758966,12.89513171961736
821,19.43907312355742,-0.006563700552456087,12.87537257110133
822,19.4325027994884,-0.006576848968061668,12.85565383142673
823,19.42591936944904,-0.006589943493819655,12.83597587562939
824,19.41932288911401,-0.006602983811144535,12.81633907796947
825,19.41271341455335,-0.006615969602629011,12.79674381192434
826,19.40609100223293,-0.00662890055205148,12.77719045018145
827,19.39945570901492,-0.00664177634438365,12.75767936463127
828,19.39280759215827,-0.00665459666579806,12.73821092636021
829,19.38614670931916,-0.006667361203675601,12.71878550564356
830,19.37947311855147,-0.006680069646613026,12.69940347193844
831,19.37278687830725,-0.006692721684430443,12.6800651938768
832,19.36608804743718,-0.006705317008178813,12.66077103925837
833,19.35937668519107,-0.006717855310147371,12.6415213750437
834,19.35265285121827,-0.006730336283871118,12.62231656734715
835,19.34591649468936,-0.006742759513259405,12.60315698142995
836,19.33916758969668,-0.006755124608003431,12.58404298169325
837,19.33240634732892,-0.006767431415657732,12.56497493167118
838,19.32563282522344,-0.006779679631199496,12.54595319402394
839,19.31884708126941,-0.006791868950738502,12.52697813053091
840,19.31204917360548,-0.006803999071521737,12.50805010208374
841,19.30523916061752,-0.006816069691937976,12.48916946867954
842,19.29841710093645,-0.006828080511522479,12.47033658941398
843,19.29158305343597,-0.006840031230961489,12.45155182247448
844,19.28473707723028,-0.006851921552096869,12.43281552513341
845,19.27787923167193,-0.006863751177930649,12.41412805374128
846,19.27100957634948,-0.006875519812629502,12.39548976371998
847,19.26412817108534,-0.006887227161529372,12.37690100955597
848,19.25723507593348,-0.006898872931139866,12.35836214479361
849,19.25033035117722,-0.00691045682914882,12.3398735220284
850,19.24341405732698,-0.006921978564426736,12.32143549290024
851,19.23648625511802,-0.0069334378470312,12.30304840808682
852,19.22954700550823,-0.006944834388211364,12.28471261729687
853,19.2225963696759,-0.006956167900412328,12.26642846926357
854,19.21563440901743,-0.006967438097279541,12.24819631173789
855,19.20866118514514,-0.006978644693663174,12.23001649148197
856,19.201676759885,-0.006989787405622476,12.21188935426252
857,19.19468119527441,-0.007000865950430099,12.19381524484431
858,19.18767455355993,-0.007011880046576434,12.1757945069835
859,19.1806568971951,-0.007022829413773909,12.15782748342119
860,19.17362828883812,-0.007033713772961235,12.13991451587689
861,19.16658879134969,-0.007044532846307724,12.12205594504197
862,19.15953870168577,-0.007055286591112539,12.10425211057323
863,19.15247792785352,-0.007065974576767085,12.08650335108644
864,19.14540650083848,-0.007076596496688612,12.06881000414986
865,19.13832448778569,-0.007087152081507824,12.05117240627786
866,19.13123195617523,-0.007097641063250734,12.0335908929245
867,19.12412897382253,-0.007108063175345375,12.01606579847715
868,19.11701560887866,-0.007118418152628514,11.99859745625014
869,19.1098919298307,-0.007128705731352282,11.98118619847841
870,19.10275800550206,-0.007138925649190856,11.9638323563112
871,19.09561390505281,-0.007149077645247057,11.94653625980575
872,19.08845969798,-0.007159161460058996,11.92929823792101
873,19.08129545411802,-0.007169176835606622,11.91211861851139
874,19.07412124363887,-0.007179123515318306,11.89499772832056
875,19.06693713705256,-0.007189001244077392,11.87793589297517
876,19.0597432052074,-0.007198809768228699,11.8609334369787
877,19.05253951929032,-0.007208548835585042,11.84399068370528
878,19.04532615082725,-0.007218218195433707,11.82710795539355
879,19.03810317168339,-0.007227817598542892,11.8102855731405
880,19.03087065406356,-0.007237346797168174,11.79352385689539
881,19.02362867051257,-0.007246805545058906,11.77682312545366
882,19.0163772939155,-0.007256193597464625,11.76018369645087
883,19.00911659749802,-0.007265510711141379,11.74360588635664
884,19.00184665482679,-0.007274756644358135,11.72709001046865
885,18.99456753980972,-0.007283931156903076,11.71063638290665
886,18.98727932669633,-0.007293034010089895,11.69424531660644
887,18.97998209007808,-0.007302064966764107,11.67791712331397
888,18.97267581952345,-0.00731102370594403,11.66165211357942
889,18.96536046237237,-0.007319909865621156,11.64545059675122
890,18.95803626171213,-0.007328723380741906,11.62931288097023
891,18.95070328996977,-0.007337464016805914,11.61323927316386
892,18.94336161976874,-0.0073461315407285,11.59723007904024
893,18.93601132392662,-0.007354725720844218,11.5812856030824
894,18.92865247545275,-0.007363246326910274,11.56540614854247
895,18.92128514754591,-0.007371693130109987,11.54959201743593
896,18.91390941359203,-0.007380065903056199,11.53384351053583
897,18.90652534716183,-0.007388364419794689,11.51816092736714
898,18.89913302200847,-0.007396588455807499,11.50254456620097
899,18.89173251206532,-0.007404737788016355,11.48699472404897
900,18.88432389144352,-0.007412812194785902,11.47151169665762
901,18.8769072344297,-0.007420811455927062,11.45609577850264
902,18.86948261548368,-0.00742873535270029,11.44074726278339
903,18.8620501092361,-0.007436583667818819,11.42546644141728
904,18.85460979048613,-0.007444356185451913,11.41025360503422
905,18.84716173419912,-0.007452052691228012,11.39510904297111
906,18.83970601550428,-0.007459672972237975,11.38003304326631
907,18.83224270969236,-0.007467216817038185,11.36502589265417
908,18.82477189221329,-0.007474684015653693,11.3500878765596
909,18.81729363867392,-0.007482074359581322,11.3352192790926
910,18.80980802483564,-0.007489387641792734,11.3204203830429
911,18.80231512661205,-0.007496623656737503,11.30569146987455
912,18.79481502006669,-0.007503782200346107,11.29103281972058
913,18.78730778141063,-0.007510863070032972,11.27644471137766
914,18.77979348700023,-0.007517866064699411,11.26192742230082
915,18.77227230155575,-0.007524791072957593,11.24748122859816
916,18.76474425525821,-0.00753163785023262,11.23310640502559
917,18.75720940243808,-0.007538406177456472,11.21880322498161
918,18.74966782147634,-0.007545095860974208,11.20457196050213
919,18.74211959094795,-0.007551706708692683,11.19041288225526
920,18.73456478962072,-0.007558238530084515,11.17632625953621
921,18.72700349645395,-0.007564691136191864,11.16231236026209
922,18.71943579059728,-0.007571064339630371,11.14837145096691
923,18.71186175138938,-0.007577357954592925,11.13450379679645
924,18.70428145835671,-0.007583571796853484,11.12070966150323
925,18.69669499121234,-0.00758970568377085,11.10698930744149
926,18.6891024298546,-0.007595759434292388,11.09334299556221
927,18.68150385436594,-0.007601732868957798,11.07977098540814
928,18.67389934501162,-0.007607625809902732,11.06627353510889
929,18.66628898223849,-0.00761343808086254,11.05285090137595
930,18.65867284667373,-0.007619169507175826,11.0395033394979
931,18.65105101912361,-0.007624819915788126,11.02623110333548
932,18.64342358057226,-0.007630389135255459,11.0130344453168
933,18.63579061218042,-0.007635876995747882,10.99991361643254
934,18.62815219528417,-0.007641283329053032,10.98686886623114
935,18.62050841139371,-0.007646607968579607,10.97390044281411
936,18.61285934219214,-0.007651850749360889,10.96100859283125
937,18.60520506953413,-0.007657011508058107,10.94819356147602
938,18.59754567544477,-0.007662090082963937,10.93545559248083
939,18.58988124211828,-0.007667086314005853,10.92279492811242
940,18.58221185191676,-0.007672000042749488,10.91021180916727
941,18.57453758432582,-0.007676831109358853,10.89770647496697
942,18.5668585136975,-0.007681579350343768,10.88527916335374
943,18.55917473204762,-0.00768624462136178,10.87293011068584
944,18.55148632222505,-0.00769082677039194,10.86065955183311
945,18.54379336723317,-0.007695325647060654,10.84846772017251
946,18.53609595022843,-0.007699741102644772,10.83635484758366
947,18.52839415451902,-0.007704072990074606,10.82432116444441
948,18.5206880635635,-0.007708321163936969,10.81236689962653
949,18.5129777609694,-0.007712485480478109,10.80049228049129
950,18.50526333049183,-0.007716565797606692,10.78869753288514
951,18.49754485603217,-0.007720561974896711,10.77698288113546
952,18.48982242163665,-0.007724473873590384,10.76534854804627
953,18.48209611149496,-0.007728301356600998,10.75379475489396
954,18.4743660099389,-0.007732044288515773,10.74232172142313
955,18.46663220144103,-0.007735702535598635,10.73092966584239
956,18.45889477061322,-0.007739275965793016,10.7196188048202
957,18.45115380220537,-0.007742764448724597,10.70838935348078
958,18.44340938110395,-0.007746167855703991,10.69724152539996
959,18.4356615923307,-0.007749486059729496,10.68617553260121
960,18.42791052104117,-0.007752718935489666,10.6751915855515
961,18.42015625252344,-0.007755866359366049,10.66428989315739
962,18.41239887219666,-0.007758928209435669,10.65347066276099
963,18.40463846560975,-0.007761904365473686,10.64273410013606
964,18.39687511843996,-0.007764794708955872,10.63208040948409
965,18.38910891649154,-0.007767599123061171,10.62150979343037
966,18.38133994569433,-0.007770317492674128,10.6110224530202
967,18.37356829210243,-0.007772949704387388,10.60061858771505
968,18.36579405548368,-0.007775495660094963,10.59029839538872
969,18.35801731729764,-0.007777955244974004,10.58006207232363
970,18.35023815855016,-0.007780328345343065,10.56990981320709
971,18.34245666603284,-0.007782614854905303,10.55984181112754
972,18.33467292666516,-0.007784814669094226,10.54985825757093
973,18.32688702749325,-0.007786927685076188,10.53995934241707
974,18.31909905568874,-0.007788953801752759,10.53014525393598
975,18.31130909854754,-0.007790892919763153,10.52041617878438
976,18.30351724348866,-0.007792744941486586,10.51077230200208
977,18.29572357805308,-0.007794509771044613,10.50121380700847
978,18.28792818990246,-0.00779618731430341,10.49174087559905
979,18.28013116681805,-0.007797777478876075,10.48235368794197
980,18.27233259669943,-0.007799280174124833,10.4730524225746
981,18.2645325675634,-0.007800695311163292,10.46383725640011
982,18.2567311675427,-0.007802022802858555,10.45470836468415
983,18.24892848488493,-0.007803262563833446,10.44566592105148
984,18.24112460795124,-0.007804414510468547,10.43671009748269
985,18.23331962521526,-0.007805478560904344,10.42784106431092
986,18.22551362526187,-0.007806454635043259,10.41905899021861
987,18.21770669678596,-0.007807342654551646,10.41036404223431
988,18.20989892859133,-0.007808142542861821,10.4017563857295
989,18.20209040958945,-0.007808854225174001,10.39323618441544
990,18.19428122879828,-0.007809477628458225,10.38480360034005
991,18.18647147534112,-0.007810012681456275,10.37645879388484
992,18.17866123844536,-0.007810459314683505,10.36820192376186
993,18.17085060744136,-0.007810817460430705,10.36003314701065
994,18.16303966057563,-0.007811087041580319,10.35195261899532
995,18.15522842696567,-0.007811267933564153,10.34396049340152
996,18.14741705498312,-0.007811360132749556,10.33605692223357
997,18.13960563336039,-0.007811363577548848,10.32824205581154
998,18.13179425088515,-0.00781127820811674,10.32051604276841
999,18.12398299639851,-0.007811103966351276,10.31287903004723
1000,18.11617195879293,-0.00781084079589459,10.30533116289834
1001,18.10836122701041,-0.007810488642133839,10.29787258487657
1002,18.10055089004046,-0.0078100474522019,10.29050343783856
1003,18.09274103691823,-0.00780951717497819,10.28322386194004
1004,18.08493175672249,-0.007808897761089341,10.27603399563315
1005,18.07712313857376,-0.007808189162909928,10.26893397566383
1006,18.06931527163231,-0.0078073913345631,10.26192393706921
1007,18.06150824509626,-0.007806504231921235,10.25500401317503
1008,18.05370214819965,-0.007805527812606531,10.24817433559312
1009,18.04589707021042,-0.007804462035991527,10.2414350342189
1010,18.03809310042857,-0.007803306863199685,10.23478623722888
1011,18.03029032818413,-0.007802062257105852,10.22822807107828
1012,18.0224888428353,-0.007800728182336743,10.22176066049856
1013,18.01468873376643,-0.007799304605271363,10.21538412849507
